Month,Start Date,End Date,Initial Balance,Final Balance,Total Return,Return %,Sharpe Ratio,Sortino Ratio,Max Drawdown %,Total Trades,Win Rate %,Total Fees,Net Return (after fees)
January,2025-01-10,2025-01-31,50000.0,68583.39138719511,18583.391387195108,37.166782774390214,35.87685891054349,61.756083156463845,-0.5993344827590299,16,100.0,144.6309621966307,18438.760424998476
February,2025-02-10,2025-02-28,50000.0,66439.36942125409,16439.369421254087,32.87873884250818,41.23901598768923,65.37542128746996,-0.4435700561774133,18,100.0,165.30241848166202,16274.067002772425
March,2025-03-10,2025-03-31,50000.0,66582.68378444313,16582.68378444313,33.16536756888625,34.555954922304856,50.09489865361023,-0.5456776522775542,18,100.0,165.0182568142203,16417.66552762891
April,2025-04-10,2025-04-30,50000.0,67354.933815546,17354.933815546,34.709867631092,39.313234944883305,53.52982706493507,-0.7572054233719566,13,100.0,150.74261812827484,17204.191197417724
May,2025-05-10,2025-05-31,50000.0,71079.00756653347,21079.007566533473,42.15801513306695,39.07356540018063,58.23741615527086,-0.49426824394356567,15,100.0,158.16802516822207,20920.83954136525
June,2025-06-10,2025-06-30,50000.0,69506.84958437918,19506.849584379175,39.01369916875835,40.79442470449286,61.48237775817662,-0.3852510976015578,14,100.0,157.80189026019826,19349.047694118977
July,2025-07-10,2025-07-31,50000.0,66369.32134090945,16369.321340909446,32.73864268181889,35.35020166325409,54.485487223070066,-0.6595248648385282,15,100.0,158.43957836563132,16210.881762543815
August,2025-08-10,2025-08-31,50000.0,66898.55557580419,16898.55557580419,33.79711115160838,37.45713652098523,55.8208849313255,-0.5054827247365754,19,100.0,171.27380519400847,16727.28177061018
September,2025-09-10,2025-09-30,50000.0,69804.58349134677,19804.58349134677,39.60916698269354,40.159969499643346,65.27286388937881,-0.7661688472721241,20,100.0,185.32287128742198,19619.260620059347
October,2025-10-10,2025-10-31,50000.0,67856.02179757798,17856.02179757798,35.71204359515596,39.26004919396736,65.12779467992944,-0.422807986446772,17,100.0,174.877220132231,17681.14457744575
